,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"Red, brown, yellow, black and white, they are precious in His sight! #alllivesmatter","Red, brown, yellow, black and white, they are precious in His sight! ","Retreat is not defeat. They are not wearing riot gear and don't know what will be thrown next. They will probably rely on face-recognition surveillance tapes.  With knives and machetes a possibility, just one slip up you and/or your colleagues possibly done for. #AllLivesMatter","Retreat is not defeat. They are not wearing riot gear and don't know what will be thrown next. They will probably rely on face-recognition surveillance tapes.  With knives and machetes a possibility, just one slip up you and/or your colleagues possibly done for. ","Silence is violence, yet somehow, burning down businesses and destroying public property is not. #AllLivesMatter","Silence is violence, yet somehow, burning down businesses and destroying public property is not. ","White pistol, white rights,white power. #AllLivesMatter","White pistol, white rights,white power. ","escalation begets escalation, we need civility; No justice can come from all this violence, only more division #AllLivesMatter","escalation begets escalation, we need civility; No justice can come from all this violence, only more division ","If the Blacks don’t stop violence, no law can change anything. Cops have a right to defend themselves. #AllLivesMatter","If the Blacks don’t stop violence, no law can change anything. Cops have a right to defend themselves. ","It's really concerning that having a opinion today different to others means your a racist , yet it's ok for them to get vile with you , we know racism does exist but the race card is out for no reason in 2020 , live for today not for the past #AllLivesMatter","It's really concerning that having a opinion today different to others means your a racist , yet it's ok for them to get vile with you , we know racism does exist but the race card is out for no reason in 2020 , live for today not for the past ",Where are the libtards when a white child is shot by a black man? #AllLivesMatter,Where are the libtards when a white child is shot by a black man? ,Everyone should also remember that the vast majority of law enforcement officers are working to improve and protect their communities and the few ones who hide behind the badge to commit atrocities do not represent the majority of law enforcement officers #alllivesmatter,Everyone should also remember that the vast majority of law enforcement officers are working to improve and protect their communities and the few ones who hide behind the badge to commit atrocities do not represent the majority of law enforcement officers ,"As a white person, how can I be held responsible for something that happened years before or 4000 miles away, I will never apologise for something I have not done, I'm not racist, I'm not responsible for George Floyd's death. #AllLivesMatter","As a white person, how can I be held responsible for something that happened years before or 4000 miles away, I will never apologise for something I have not done, I'm not racist, I'm not responsible for George Floyd's death. "
1,It seems that being filled with so much hate would make you a hateful person who hate violence. There is something questionable about that kind of statement.  Maybe  a laxative or counceling? #AllLivesMatter,It seems that being filled with so much hate would make you a hateful person who hate violence. There is something questionable about that kind of statement.  Maybe  a laxative or counceling? ,Its Monday and I will never be bullied into kneeling to a bunch of far-left thugs. #AllLivesMatter,Its Monday and I will never be bullied into kneeling to a bunch of far-left thugs. ,Life is priceless. Ban heart disease and strokes. Ban automobiles. Ban opioids. Ban diabetes. Ban cancer. Shut down the subways. Close all roads. Stop all construction. But then more people will die of starvation. Of violence. Of suicide. #AllLivesMatter,Life is priceless. Ban heart disease and strokes. Ban automobiles. Ban opioids. Ban diabetes. Ban cancer. Shut down the subways. Close all roads. Stop all construction. But then more people will die of starvation. Of violence. Of suicide. ,I genuinely don’t get what black people have done to be hated so much someone wants to kill you? #AllLivesMatter,I genuinely don’t get what black people have done to be hated so much someone wants to kill you? ,"Since all people are created in the image of God, all lives do mater. #AllLivesMatter","Since all people are created in the image of God, all lives do mater. ",How can you be fully happy with your life when you hate others? #AllLivesMatter,How can you be fully happy with your life when you hate others? ,Those who matter shouldn’t be defined by color #AllLivesMatter,Those who matter shouldn’t be defined by color ,Tell me again which party is race baiting? #AllLivesMatter,Tell me again which party is race baiting? ,It is about damn time. #AllLivesMatter,It is about damn time. ,That’s right! And sorry if you want the dream you do have many opportunities to do so..EXCUSES for an unproductive life. My white children had to pay for college in spite of our low income. Minorities can get everything handed to them just ask! #AllLivesMatter,That’s right! And sorry if you want the dream you do have many opportunities to do so..EXCUSES for an unproductive life. My white children had to pay for college in spite of our low income. Minorities can get everything handed to them just ask! 
2,And how is destroying innocent peoples property and life's work make you any better then the people you are protesting against. Those people did not murder anyone.  #ALLLIVESMATTER,And how is destroying innocent peoples property and life's work make you any better then the people you are protesting against. Those people did not murder anyone.  ,"I don't care weather you're Blue, brown, white or purple #AllLivesMatter","I don't care weather you're Blue, brown, white or purple ",Why are the footballers still 'taking the knee'  they have done it once? Fed up with this now...#AllLivesMatter,Why are the footballers still 'taking the knee'  they have done it once? Fed up with this now...,So Walmart is donating money to help white people have racial equality? #AllLivesMatter,So Walmart is donating money to help white people have racial equality? ,Do they realise the KKK used to wear white hoods to hide their faces? Oh the irony.. #AllLivesMatter,Do they realise the KKK used to wear white hoods to hide their faces? Oh the irony.. ,"In their defense, there are too many syllables in George Floyd to remember his name exactly. #AllLivesMatter","In their defense, there are too many syllables in George Floyd to remember his name exactly. ","To that vile enemy, hate. Let's protest with love and dignity. We ain't thieves, and as such, we ain't gon loot no shops. We ain't gon burn no businesses we built from the ground up, to the ground. We all matter. #AllLivesMatter","To that vile enemy, hate. Let's protest with love and dignity. We ain't thieves, and as such, we ain't gon loot no shops. We ain't gon burn no businesses we built from the ground up, to the ground. We all matter. ","If BLACK people want to be treated equally, stop with ALL the demands!!! NO more special treatment like Affirmative Action and Quotas #AllLivesMatter","If BLACK people want to be treated equally, stop with ALL the demands!!! NO more special treatment like Affirmative Action and Quotas ",I dont understand why people are arguing about skin colors everyone is the same in my eyes it does not matter if ur black white or any color we are all human and dont need to oppress each other we all can be happy #AllLivesMatter,I dont understand why people are arguing about skin colors everyone is the same in my eyes it does not matter if ur black white or any color we are all human and dont need to oppress each other we all can be happy ,"Hey fucked America. Your fucking looters disgust me, but not as much as your police forced indiscriminately disabling, seriously injuring and killing innocent protesters. #AllLivesMatter","Hey fucked America. Your fucking looters disgust me, but not as much as your police forced indiscriminately disabling, seriously injuring and killing innocent protesters. "
3,Such great news!  Hydroxchloroquine is saving lives!!  #AllLivesMatter,Such great news!  Hydroxchloroquine is saving lives!!  ,Killing more people solved literally nothing and does not serve as justice. #AllLivesMatter,Killing more people solved literally nothing and does not serve as justice. ,"If you have 10 bad cops and 1000 good cops, and the 1000 good cops don’t turn in the 10 bad cops, then you have 1010 bad cops.#AllLivesMatter","If you have 10 bad cops and 1000 good cops, and the 1000 good cops don’t turn in the 10 bad cops, then you have 1010 bad cops.",To many innocent people dying out here man!!Cant we all just live in peace!!#AllLivesMatter,To many innocent people dying out here man!!Cant we all just live in peace!!,"Well said! Generations x and y are the most useless, entitled, selfish, ignorant jerks ever produced!#AllLivesMatter","Well said! Generations x and y are the most useless, entitled, selfish, ignorant jerks ever produced!","I hope people understand that if you want to see improvement in police force, you must vote in the local and state election. The President of the United States has little say in the local and state police force. Just FYI #AllLivesMatter","I hope people understand that if you want to see improvement in police force, you must vote in the local and state election. The President of the United States has little say in the local and state police force. Just FYI ","We have black celebrities, we have black athletes, we have black CEO's, we had a black president. The only ones holding you back is you. #alllivesmatter","We have black celebrities, we have black athletes, we have black CEO's, we had a black president. The only ones holding you back is you. ",is being called the n word really any worse than being called a dumb blond or a ranga or Skippy ? #AllLivesMatter,is being called the n word really any worse than being called a dumb blond or a ranga or Skippy ? ,Can I see the videoes of the gangs of white people looting and attacking black people. Where’s the videos of white people walking into stores or down the streets sucker punching blacks? Or ones of white folks shooting innocent black kids... where are they at? #AllLivesMatter,Can I see the videoes of the gangs of white people looting and attacking black people. Where’s the videos of white people walking into stores or down the streets sucker punching blacks? Or ones of white folks shooting innocent black kids... where are they at? ,Today would be a great day to criminalize protester violence against police. #AllLivesMatter,Today would be a great day to criminalize protester violence against police. 
4,Protesting in other countries is important.  Protesting during the National Anthem at a football game is not allowed. #AllLivesMatter,Protesting in other countries is important.  Protesting during the National Anthem at a football game is not allowed. ,great example that racism is not just white on black. until this is recognised nothing will change. #AllLivesMatter,great example that racism is not just white on black. until this is recognised nothing will change. ,"As long as we have different rules and laws that are based on colour of your skin, religion or gender you will always have hatred, fighting and division.  #AllLivesMatter","As long as we have different rules and laws that are based on colour of your skin, religion or gender you will always have hatred, fighting and division.  ",All racism is evil. #AllLivesMatter,All racism is evil. ,"The right to become a human being is a human right just as much as the right to do whatever you want with your human body. If the process has started, kindly let it take it's natural course. #AllLivesMatter","The right to become a human being is a human right just as much as the right to do whatever you want with your human body. If the process has started, kindly let it take it's natural course. ","Crazy, the left is truly out of contol. These control mongers are destroying decades of American culture, shame on them. #AllLivesMatter","Crazy, the left is truly out of contol. These control mongers are destroying decades of American culture, shame on them. ",Black or white we are all Human #AllLivesMatter,Black or white we are all Human ,Be love and kindness in action today. Stop the hate. #ALLlivesmatter,Be love and kindness in action today. Stop the hate. ,Not allowing Americans in person voting is unconstitutional!  #AllLivesMatter,Not allowing Americans in person voting is unconstitutional!  ,Black people feel suppressed so they want to stand up to white people and suppress them. So who’s the real racists? #AllLivesMatter,Black people feel suppressed so they want to stand up to white people and suppress them. So who’s the real racists? 
5,Can we just talk and watch football. Tired Of This Political Race Stuff! Kneeling Is Causing Divide Not Unity! #AllLivesMatter,Can we just talk and watch football. Tired Of This Political Race Stuff! Kneeling Is Causing Divide Not Unity! ,sanitary towels should be free and condoms should be for sale because menstruation is not a choice but sex is a choice #AllLivesMatter,sanitary towels should be free and condoms should be for sale because menstruation is not a choice but sex is a choice ,Not today Putin! #AllLivesMatter,Not today Putin! ,"When people said more needed done than just posting black squares I don't think they meant to riot, loot and deface our world #AllLivesMatter","When people said more needed done than just posting black squares I don't think they meant to riot, loot and deface our world ",NOBODY SHOULD BE HATED BECAUSE OF THE COLOR OF THEIR SKIN. #ALLLIVESMATTER,NOBODY SHOULD BE HATED BECAUSE OF THE COLOR OF THEIR SKIN. ,"This Seattle protest turned ugly, but for the most part people are embracing peaceful protest throughout the world, and smart world leaders are listening. #AllLivesMatter","This Seattle protest turned ugly, but for the most part people are embracing peaceful protest throughout the world, and smart world leaders are listening. ",The unborn are the most precious innocent human beings.  Who will stand for the unborn? #AllLivesMatter,The unborn are the most precious innocent human beings.  Who will stand for the unborn? ,"Well, so much for the first African American female Oscar winner then! I guess her life doesn't matter! Sorry Hattie McDaniel. #AllLivesMatter","Well, so much for the first African American female Oscar winner then! I guess her life doesn't matter! Sorry Hattie McDaniel. ","Can I get a moment for all the people that died by the same protesters everyone is saying they are the good guys, no fuck you fuck the violence, there is no room for hatred in my country anyone  who thinks these are protests is a fucking piece of shit #AllLivesMatter","Can I get a moment for all the people that died by the same protesters everyone is saying they are the good guys, no fuck you fuck the violence, there is no room for hatred in my country anyone  who thinks these are protests is a fucking piece of shit ",Don’t blame people for being racist blame the education and the society that gave them such a mindset. It’s not about the darker skin it’s about all the different races and ethnicities. #AllLivesMatter,Don’t blame people for being racist blame the education and the society that gave them such a mindset. It’s not about the darker skin it’s about all the different races and ethnicities. 
6,Well here we are....another day has passed and another racist attack on our Police Officers. They were helping a victim of crime and some cowards racially attacked them. #AllLivesMatter,Well here we are....another day has passed and another racist attack on our Police Officers. They were helping a victim of crime and some cowards racially attacked them. ,This is what really matters in the world. People being killed for following another religion. Islam is the most racist and hate filled religion ever known. More lives lost in killing non believers and more slaves than any other religion. #AllLivesMatter,This is what really matters in the world. People being killed for following another religion. Islam is the most racist and hate filled religion ever known. More lives lost in killing non believers and more slaves than any other religion. ,"To die. As a nation you should all be appalled at the way your parents and grandparents are being treated, just as we are for you. We need our pensions to survive but we also need to be valued and given the choice of living. #ALLLIVESMATTER","To die. As a nation you should all be appalled at the way your parents and grandparents are being treated, just as we are for you. We need our pensions to survive but we also need to be valued and given the choice of living. ",Despicable anarchists encouraging vandalism graffiti on private property.  #AllLivesMatter,Despicable anarchists encouraging vandalism graffiti on private property.  ,"Instagram narcissists, please tell us how exactly Blackout Tuesday helps address structural inequalities of US society? #AllLivesMatter","Instagram narcissists, please tell us how exactly Blackout Tuesday helps address structural inequalities of US society? ",We need to take a hard look at laws that penalize minorities. End the persecution! Put minorities in charge of these civilian agencies. #AllLivesMatter,We need to take a hard look at laws that penalize minorities. End the persecution! Put minorities in charge of these civilian agencies. ,"Never thought I’d be fighting for equality in 2020. All men are created equal, no matter your race, gender, or creed. No one is worth less or more than the other. #AllLivesMatter","Never thought I’d be fighting for equality in 2020. All men are created equal, no matter your race, gender, or creed. No one is worth less or more than the other. ","America is defined as the free world. However, how many people truly live free without the fear of racism sparked situations that can turn deadly on their minds every single day? #AllLivesMatter","America is defined as the free world. However, how many people truly live free without the fear of racism sparked situations that can turn deadly on their minds every single day? ",But the criminal Floyd's funeral got all the attention.  #AllLivesMatter,But the criminal Floyd's funeral got all the attention.  ,We need Medicare For All! #AllLivesMatter,We need Medicare For All! 
7,say NO to racism and irresponsible rampage also! #alllivesmatter,say NO to racism and irresponsible rampage also! ,We must all work to end racism and social injustice everywhere. This is a rallying call especially to those who have the benefit of privilege - historically entrenched or imagined. #AllLivesMatter,We must all work to end racism and social injustice everywhere. This is a rallying call especially to those who have the benefit of privilege - historically entrenched or imagined. ,"What will make the riots go away? Killing another man & calling it justice? All people need to abide the law. Not everyone chooses to be a hero. Make the jobs for our hero’s easier by being better people inside & out, we will all have a better community to live in #ALLlivesmatter","What will make the riots go away? Killing another man & calling it justice? All people need to abide the law. Not everyone chooses to be a hero. Make the jobs for our hero’s easier by being better people inside & out, we will all have a better community to live in ",You all want to know how I feel? If your going to be prejudice against people you better be prejudice against everyone including your own people... #AllLivesMatter,You all want to know how I feel? If your going to be prejudice against people you better be prejudice against everyone including your own people... ,Fcuking disgusting....who do they (black people) think they are? #allLivesMatter,Fcuking disgusting....who do they (black people) think they are? ,"This is NOT Acceptable!! We need to show each other respect , for all of Our differences no matter what is about. #AllLivesMatter","This is NOT Acceptable!! We need to show each other respect , for all of Our differences no matter what is about. ",Let’s learn and teach those around us and our future generations the power of love. #AllLivesMatter,Let’s learn and teach those around us and our future generations the power of love. ,Well said. We need to look out for each other. I appreciate law enforcement and the sacrifices they make. There’s no room for racism or bullying just because you wear the badge. #AllLivesMatter,Well said. We need to look out for each other. I appreciate law enforcement and the sacrifices they make. There’s no room for racism or bullying just because you wear the badge. ,"If you ask me to bow, apologize, lift my hands, or kiss your feet in solidarity know this: I only bow to God and His is the only feet I will ever kiss. That’s my solidarity.  If you attempt to harm me because of my answer, you will be met with my glock. #AllLivesMatter","If you ask me to bow, apologize, lift my hands, or kiss your feet in solidarity know this: I only bow to God and His is the only feet I will ever kiss. That’s my solidarity.  If you attempt to harm me because of my answer, you will be met with my glock. ",Maybe animals are less wild and humans are less human #AllLivesMatter,Maybe animals are less wild and humans are less human 
8,"NEVER Apologize for you are or what skin color you have, especially if it's WHITE!!! #AllLivesMatter","NEVER Apologize for you are or what skin color you have, especially if it's WHITE!!! ",I say cancel all sports until the taking of the knee is fucked right off! #AllLivesMatter,I say cancel all sports until the taking of the knee is fucked right off! ,It doesn’t matter how many times someone tells you matter until you believe it yourself nothing changes!!!! #AllLivesMatter,It doesn’t matter how many times someone tells you matter until you believe it yourself nothing changes!!!! ,"If you’re taking 9/11 as an opportunity to troll, you’re just trash #AllLivesMatter","If you’re taking 9/11 as an opportunity to troll, you’re just trash ","How many could not visit their families members while they were dying alone nor could even attend their funerals in the last several weeks, but today a public funeral with thousands of people in attendance was the ""right place"" to be at? #AllLivesMatter","How many could not visit their families members while they were dying alone nor could even attend their funerals in the last several weeks, but today a public funeral with thousands of people in attendance was the ""right place"" to be at? ","A Canadian born person says racism is everywhere growing up playing hockey in Canada, kneels for US anthem but then stands for Canadian anthem. Cause is exposed. It’s more about Anti-America. #AllLivesMatter","A Canadian born person says racism is everywhere growing up playing hockey in Canada, kneels for US anthem but then stands for Canadian anthem. Cause is exposed. It’s more about Anti-America. ",Setting buildings on fire will solve all problems ladies and gents #AllLivesMatter,Setting buildings on fire will solve all problems ladies and gents ,How can a believer vote for baby killing ideology?  #alllivesmatter,How can a believer vote for baby killing ideology?  ,Not all cops are bad not all white people are racist and we never exclude black lives at all #AllLivesMatter,Not all cops are bad not all white people are racist and we never exclude black lives at all ,"Kneeling for me is cowardly, not in respect. #AllLivesMatter","Kneeling for me is cowardly, not in respect. "
9,Hooligans and criminals #Alllivesmatter,Hooligans and criminals ,"So, my question would be what is the black community doing for itself, first?  Are their neighborhoods clean? Are they self-policing and keeping their neighborhoods safe? Are they always concerned about their children and their whereabouts? #AllLivesMatter","So, my question would be what is the black community doing for itself, first?  Are their neighborhoods clean? Are they self-policing and keeping their neighborhoods safe? Are they always concerned about their children and their whereabouts? ",Let's not say anything about free speech! #AllLivesMatter,Let's not say anything about free speech! ,I am white male. I don't have a racist bone in my body. I love all people and don't care what color your skin is. But I refuse to take a knee and appolgize for being born white. #AllLivesMatter,I am white male. I don't have a racist bone in my body. I love all people and don't care what color your skin is. But I refuse to take a knee and appolgize for being born white. ,"Just remember that when the constitution was written, it was assumed to be for “ALL” Americans... don’t let that go over your head #AllLivesMatter","Just remember that when the constitution was written, it was assumed to be for “ALL” Americans... don’t let that go over your head ","We Are All Humans Until Race Disconnected Us, Religion Separated Us, Politics Divided Us And Wealth Classied Us  #AllLivesMatter","We Are All Humans Until Race Disconnected Us, Religion Separated Us, Politics Divided Us And Wealth Classied Us  ",Holding historical figures to the standards we share today is simply asinine. #AllLivesMatter,Holding historical figures to the standards we share today is simply asinine. ,"honor and respect that there can be no permanent solution. So please stop this senseless violence. We aren't honoring anybody or getting any kind of justice like this. All that is happening is a futhering of hate, fear, and misunderstanding. #AllLivesMatter","honor and respect that there can be no permanent solution. So please stop this senseless violence. We aren't honoring anybody or getting any kind of justice like this. All that is happening is a futhering of hate, fear, and misunderstanding. ","Not all rioters are genuine, not all police are ruthless racists. Lack of fear for Law & Order will lead to a state of anarchy. #AllLivesMatter","Not all rioters are genuine, not all police are ruthless racists. Lack of fear for Law & Order will lead to a state of anarchy. ",White guilt is a self inflicted poison... Those inflicted with white guilt are secret racists... #AllLivesMatter,White guilt is a self inflicted poison... Those inflicted with white guilt are secret racists... 
